ticket_id,model,category,priority_reason,priority,sentiment,confidence,kb_article,reply,needs_human,latency_s,input_tokens,output_tokens,thinking_tokens,schema_errors,error
T001,Gemini 3.5 Flash-Lite,PAYMENT,Any question about payment methods is low priority as it is an information request with no action needed urgently.,L,frustrated,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. We do not accept cheques or cryptocurrency. You can update your payment method anytime in Settings > Billing > Payment method.",False,11.25,2647,144,0,,
T002,Gemini 3.5 Flash-Lite,PAYMENT,Information or courtesy request; no action needed urgently.,L,neutral,high,KB03,"We accept Visa, Mastercard, American Express, and PayPal for all plans. Bank transfer (wire/ACH) is available only on annual plans of $5,000 or more. We do not accept cheques or cryptocurrency.",False,9.57,2646,111,0,,
T003,Gemini 3.5 Flash-Lite,REFUND,Refund status or problem is classified as High priority per the explicit rules.,H,neutral,high,KB04,"I can certainly help you check the status of your refund. Approved refunds are processed within 5 business days and then take 5–10 business days to appear, depending on your bank. You can view your current status next to the invoice in Settings > Billing > Invoices. If your refund has not arrived 15 business days after approval, please reply with your invoice number and a specialist will investigate further.",True,13.09,2649,153,0,,
T004,Gemini 3.5 Flash-Lite,CONTACT,"Customer needs to reach a human agent, which is a medium priority according to the rubric.",M,neutral,high,KB07,"Hello! To talk to a human assistant during live hours (Monday-Friday, 8:00-20:00 GMT), please open the chat widget in the bottom-right of the app and type 'agent'. If you contact us outside these hours, your message will be converted to an email ticket and answered on the next business day.",False,12.03,2647,144,0,,
T005,Gemini 3.5 Flash-Lite,NEWSLETTER,Information or courtesy request; no action needed urgently.,L,neutral,high,KB05,You can sign up for the monthly Nimbus newsletter at nimbuscrm.example/newsletter or in Settings > Notifications > Newsletter. Changes take effect within 48 hours.,False,11.29,2644,100,0,,
T006,Gemini 3.5 Flash-Lite,NEWSLETTER,Newsletter unsubscribe requests are classified as Low priority information or courtesy requests.,L,neutral,high,KB05,"Hello. To unsubscribe from the monthly Nimbus newsletter, simply click Unsubscribe at the bottom of any newsletter email, or turn it off in Settings > Notifications > Newsletter. Changes take effect within 48 hours.",False,12.29,2651,110,0,,
T007,Gemini 3.5 Flash-Lite,ACCOUNT,"Customer is blocked from using the product due to sign-up problems, which falls under High priority.",H,neutral,high,KB01,"Hello. We are sorry to hear you are experiencing sign-up problems. Most sign-up errors are caused by an email already being registered, in which case you should use Forgot password, or the verification email going to spam. Verification links expire after 24 hours. If neither fixes the issue, please contact support with a screenshot of the error so we can assist you further.",True,13.26,2644,151,0,,
T008,Gemini 3.5 Flash-Lite,REFUND,Refund policy questions are classified as Medium priority.,M,neutral,high,KB04,"Monthly plans can be refunded in full within 14 days of the charge. Annual plans can be refunded in full within 30 days of purchase, but after 30 days they are not refundable. Additionally, charges from billing errors are always refunded.",False,9.32,2650,116,0,,
T009,Gemini 3.5 Flash-Lite,INVOICE,"Customer needs to get or check an invoice, which is not blocked and nothing is at risk.",M,neutral,high,KB02,"Admins and billing contacts can view and download every invoice as a PDF by going to Settings -> Billing -> Invoices and searching by the invoice number. If you cannot see the invoice, please ask your workspace admin to add you as a billing contact.",False,8.85,2646,125,0,,
T010,Gemini 3.5 Flash-Lite,CANCEL,"Any question about cancellation, exit or early-termination fees is classified as High priority.",H,neutral,high,KB06,"Annual plans can be cancelled at any time, but cancelling before the end of the 12-month term incurs an early exit fee equal to 2 months of your plan's price (for all users on the plan). Cancelling within the first 30 days is fee-free and fully refunded. You can view the exact early exit fee in Settings > Billing > Cancel subscription before confirming your cancellation.",True,2.16,2641,154,0,,
